seed_id	depth	budget	n_paths	d_wPow	diff
2389032	1	1	1	2	1
697609	1	1	1	2	1
694861	1	1	1	2	1
696648	1	1	1	2	1
695027	1	1	1	2	1
744728	1	1	1	2	1
1633936	1	1	1	2	1
751381	1	1	1	2	1
709243	1	1	1	2	1
696763	1	1	1	2	1
691182	1	1	1	2	1
737037	1	1	1	2	1
1004110	1	1	1	2	1
690747	1	1	1	2	1
700914	1	1	1	2	1
693763	1	1	1	2	1
47397287	1	1	1	2	1
696603	1	1	1	2	1
696790	1	1	1	2	1
771152	1	1	1	2	1
17716287	2	2	1	3	1
26129524	2	2	1	3	1
945960	2	2	1	3	1
28198337	2	2	1	3	1
10548354	2	2	1	3	1
38425257	2	2	1	3	1
63286413	2	2	1	3	1
66543466	2	2	1	3	1
1077074	2	2	1	3	1
1371892	2	2	1	3	1
79388301	2	2	1	3	1
8768412	2	2	1	3	1
61436467	2	2	1	3	1
63780684	2	2	1	3	1
15457132	2	2	1	3	1
79365519	2	2	1	3	1
1677225	2	2	1	3	1
15049568	2	2	1	3	1
11554713	2	2	1	3	1
27248985	2	2	1	3	1
1827680	3	3	1	4	1
1943944	3	3	2	4	1
39012298	3	3	1	4	1
54770849	3	3	1	4	1
21259329	3	3	1	4	1
63776785	3	3	1	4	1
30661910	3	3	1	4	1
870156	3	3	1	4	1
51688341	3	3	1	4	1
50999179	3	3	1	4	1
43000916	3	3	1	4	1
56622434	3	3	2	4	1
43351319	3	3	1	4	1
71634178	3	3	1	4	1
1474255	3	3	1	4	1
999433	3	3	1	4	1
22746207	3	3	2	4	1
18948438	3	3	2	4	1
21361418	3	3	1	4	1
3782398	3	3	1	4	1
19616285	4	4	1	5	1
53561360	4	4	1	5	1
32869309	4	4	1	5	1
56287155	4	4	1	5	1
82360320	4	4	1	5	1
36445785	4	4	1	5	1
691570	4	4	1	5	1
76739988	4	4	1	5	1
59098453	4	4	1	5	1
7819468	4	4	2	5	1
11770404	4	4	1	5	1
1569374	4	4	1	5	1
69818686	4	4	3	5	1
32964701	4	4	1	5	1
27194664	4	4	1	5	1
17170939	4	4	1	5	1
29190371	4	4	2	5	1
1943730	4	4	1	5	1
42553331	4	4	1	5	1
68013110	4	4	1	5	1
81578632	5	5	2	6	1
71815464	5	5	2	6	1
24658933	5	5	2	6	1
37495276	5	5	3	6	1
58992876	5	5	1	6	1
70884728	5	5	1	6	1
59601959	5	5	2	6	1
38989824	5	5	1	6	1
14356915	5	5	6	6	1
3249895	5	5	1	6	1
37660918	5	5	5	6	1
60152537	5	5	3	6	1
62228831	5	5	2	6	1
41170117	5	5	1	6	1
56849245	5	5	1	6	1
27905424	5	5	1	6	1
71000464	5	5	1	6	1
26511678	5	5	4	6	1
16757580	5	5	6	6	1
29633992	5	5	1	6	1
43826564	6	6	4	7	1
60719261	6	6	8	7	1
37913497	6	6	3	7	1
71095267	6	6	4	7	1
11765257	6	6	1	7	1
24613556	6	6	3	7	1
51874782	6	6	1	7	1
38542992	6	6	1	7	1
31482276	6	6	1	7	1
4615654	6	6	7	7	1
1317510	6	6	22	7	1
25899201	6	6	7	7	1
23204767	6	6	4	7	1
71599608	6	6	9	7	1
71889471	6	6	3	7	1
77040336	6	6	1	7	1
68046149	6	6	14	7	1
81478480	6	6	10	7	1
60150394	6	6	5	7	1
65146785	6	6	4	7	1
56828771	7	7	22	8	1
35715500	7	7	10	8	1
10523447	7	7	3	8	1
30943424	7	7	3	8	1
39424987	7	7	8	8	1
70873076	7	7	43	8	1
37183908	7	7	8	8	1
45632663	7	7	8	8	1
78156315	7	7	5	8	1
58554745	7	7	17	8	1
80283511	7	7	20	8	1
72922293	7	7	5	8	1
28100631	7	7	5	8	1
78351677	7	7	5	8	1
51390549	7	7	16	8	1
69556373	7	7	8	8	1
81112040	7	7	7	8	1
31463892	7	7	1	8	1
67817470	7	7	3	8	1
39035303	7	7	1	8	1
44624174	8	8	23	9	1
67261523	8	8	7	9	1
64405266	8	8	8	9	1
51352746	8	8	21	9	1
33089753	8	8	8	9	1
75027536	8	8	5	9	1
37554433	8	8	9	9	1
23619203	8	8	2	9	1
47098860	8	8	11	9	1
51268688	8	8	21	9	1
33304983	8	8	9	9	1
56937670	8	8	18	9	1
74850103	8	8	74	9	1
67086871	8	8	22	9	1
3869129	8	8	12	9	1
22367129	8	8	28	9	1
66777330	8	8	18	9	1
34608846	8	8	185	9	1
82822465	8	8	1	9	1
57782421	8	8	15	9	1
38244814	9	9	1	10	1
40662678	9	9	15	10	1
16744332	9	9	4	10	1
80403881	9	9	17	10	1
49922778	9	9	1	10	1
28312503	9	9	1	10	1
81981842	9	9	119	10	1
54322155	9	9	27	10	1
80704869	9	9	83	10	1
43537762	9	9	9	10	1
67302583	9	9	37	10	1
69387207	9	9	31	10	1
62180529	9	9	8	10	1
30666013	9	9	39	10	1
61645611	9	9	7	10	1
18777134	9	9	9	10	1
79217503	9	9	58	10	1
27417854	9	9	12	10	1
41476965	9	9	16	10	1
51897917	9	9	2	10	1
40532365	10	10	82	11	1
50376264	10	10	1	11	1
56136405	10	10	1	11	1
79644998	10	10	18	11	1
20722959	10	10	10	11	1
81261001	10	10	372	11	1
79190730	10	10	408	11	1
74417184	10	10	3	11	1
79640458	10	10	13	11	1
50716467	10	10	2	11	1
82006333	10	10	325	11	1
82003483	10	10	26	11	1
44274103	10	10	16	11	1
45187091	10	10	28	11	1
56386804	10	10	23	11	1
82378025	10	10	273	11	1
81388489	10	10	9	11	1
76539684	10	10	7	11	1
20722956	10	10	10	11	1
80035164	10	10	3	11	1
72424465	11	11	3	12	1
21871360	11	11	1	12	1
41261064	11	11	10	12	1
63242540	11	11	5	12	1
12904779	11	11	1	12	1
56646222	11	11	5	12	1
39107345	11	11	1	12	1
63781739	11	11	6	12	1
80561494	11	11	12	12	1
38098954	11	11	2	12	1
42318595	11	11	15	12	1
82186633	11	11	5	12	1
48466144	11	11	30	12	1
54878606	11	11	3	12	1
12904599	11	11	1	12	1
56771130	11	11	1	12	1
82449540	11	11	1	12	1
34323011	11	11	3	12	1
68917422	11	11	4	12	1
27934061	11	11	1	12	1
82187372	12	12	20	13	1
55372429	12	12	1	13	1
53316830	12	12	5	13	1
43747450	12	12	3	9.05211	-2.94789
62586696	12	12	25	13	1
76156706	12	12	10	13	1
64152352	12	12	1	13	1
77154795	12	12	12	8.59542	-3.40458
43601699	12	12	3	9.05211	-2.94789
60427542	12	12	1	13	1
24497169	12	12	1	13	1
37310257	12	12	3	13	1
78322225	12	12	2	9.10283	-2.89717
66767585	12	12	3	13	1
41771868	12	12	5	13	1
34958714	12	12	33	13	1
43768065	12	12	1	13	1
71905869	12	12	18	13	1
81422727	12	12	1	13	1
43413157	12	12	35	13	1
